city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,9
sj,2008,21,11
sj,2008,22,13
sj,2008,23,15
sj,2008,24,17
sj,2008,25,19
sj,2008,26,21
sj,2008,27,22
sj,2008,28,23
sj,2008,29,25
sj,2008,30,26
sj,2008,31,27
sj,2008,32,28
sj,2008,33,28
sj,2008,34,29
sj,2008,35,30
sj,2008,36,30
sj,2008,37,31
sj,2008,38,31
sj,2008,39,32
sj,2008,40,32
sj,2008,41,32
sj,2008,42,33
sj,2008,43,33
sj,2008,44,33
sj,2008,45,33
sj,2008,46,34
sj,2008,47,34
sj,2008,48,34
sj,2008,49,34
sj,2008,50,34
sj,2008,51,34
sj,2008,52,34
sj,2009,1,34
sj,2009,2,34
sj,2009,3,34
sj,2009,4,34
sj,2009,5,34
sj,2009,6,34
sj,2009,7,34
sj,2009,8,34
sj,2009,9,34
sj,2009,10,34
sj,2009,11,34
sj,2009,12,34
sj,2009,13,34
sj,2009,14,34
sj,2009,15,34
sj,2009,16,34
sj,2009,17,34
sj,2009,18,34
sj,2009,19,34
sj,2009,20,34
sj,2009,21,34
sj,2009,22,34
sj,2009,23,34
sj,2009,24,34
sj,2009,25,34
sj,2009,26,34
sj,2009,27,34
sj,2009,28,34
sj,2009,29,34
sj,2009,30,34
sj,2009,31,34
sj,2009,32,34
sj,2009,33,34
sj,2009,34,34
sj,2009,35,34
sj,2009,36,34
sj,2009,37,34
sj,2009,38,34
sj,2009,39,34
sj,2009,40,34
sj,2009,41,34
sj,2009,42,34
sj,2009,43,34
sj,2009,44,34
sj,2009,45,34
sj,2009,46,34
sj,2009,47,34
sj,2009,48,34
sj,2009,49,34
sj,2009,50,34
sj,2009,51,34
sj,2009,52,34
sj,2010,53,34
sj,2010,1,34
sj,2010,2,34
sj,2010,3,34
sj,2010,4,34
sj,2010,5,34
sj,2010,6,34
sj,2010,7,34
sj,2010,8,34
sj,2010,9,34
sj,2010,10,34
sj,2010,11,34
sj,2010,12,34
sj,2010,13,34
sj,2010,14,34
sj,2010,15,34
sj,2010,16,34
sj,2010,17,34
sj,2010,18,34
sj,2010,19,34
sj,2010,20,34
sj,2010,21,34
sj,2010,22,34
sj,2010,23,34
sj,2010,24,34
sj,2010,25,34
sj,2010,26,34
sj,2010,27,34
sj,2010,28,34
sj,2010,29,34
sj,2010,30,34
sj,2010,31,34
sj,2010,32,34
sj,2010,33,34
sj,2010,34,34
sj,2010,35,34
sj,2010,36,34
sj,2010,37,34
sj,2010,38,34
sj,2010,39,34
sj,2010,40,34
sj,2010,41,34
sj,2010,42,34
sj,2010,43,34
sj,2010,44,34
sj,2010,45,34
sj,2010,46,34
sj,2010,47,34
sj,2010,48,34
sj,2010,49,34
sj,2010,50,34
sj,2010,51,34
sj,2011,52,34
sj,2011,1,34
sj,2011,2,34
sj,2011,3,34
sj,2011,4,34
sj,2011,5,34
sj,2011,6,34
sj,2011,7,34
sj,2011,8,34
sj,2011,9,34
sj,2011,10,34
sj,2011,11,34
sj,2011,12,34
sj,2011,13,34
sj,2011,14,34
sj,2011,15,34
sj,2011,16,34
sj,2011,17,34
sj,2011,18,34
sj,2011,19,34
sj,2011,20,34
sj,2011,21,34
sj,2011,22,34
sj,2011,23,34
sj,2011,24,34
sj,2011,25,34
sj,2011,26,34
sj,2011,27,34
sj,2011,28,34
sj,2011,29,34
sj,2011,30,34
sj,2011,31,34
sj,2011,32,34
sj,2011,33,34
sj,2011,34,34
sj,2011,35,34
sj,2011,36,34
sj,2011,37,34
sj,2011,38,34
sj,2011,39,34
sj,2011,40,34
sj,2011,41,34
sj,2011,42,34
sj,2011,43,34
sj,2011,44,34
sj,2011,45,34
sj,2011,46,34
sj,2011,47,34
sj,2011,48,34
sj,2011,49,34
sj,2011,50,34
sj,2011,51,34
sj,2012,52,34
sj,2012,1,34
sj,2012,2,34
sj,2012,3,34
sj,2012,4,34
sj,2012,5,34
sj,2012,6,34
sj,2012,7,34
sj,2012,8,34
sj,2012,9,34
sj,2012,10,34
sj,2012,11,34
sj,2012,12,34
sj,2012,13,34
sj,2012,14,34
sj,2012,15,34
sj,2012,16,34
sj,2012,17,34
sj,2012,18,34
sj,2012,19,34
sj,2012,20,34
sj,2012,21,34
sj,2012,22,34
sj,2012,23,34
sj,2012,24,34
sj,2012,25,34
sj,2012,26,34
sj,2012,27,34
sj,2012,28,34
sj,2012,29,34
sj,2012,30,34
sj,2012,31,34
sj,2012,32,34
sj,2012,33,34
sj,2012,34,34
sj,2012,35,34
sj,2012,36,34
sj,2012,37,34
sj,2012,38,34
sj,2012,39,34
sj,2012,40,34
sj,2012,41,34
sj,2012,42,34
sj,2012,43,34
sj,2012,44,34
sj,2012,45,34
sj,2012,46,34
sj,2012,47,34
sj,2012,48,34
sj,2012,49,34
sj,2012,50,34
sj,2012,51,34
sj,2013,1,34
sj,2013,2,34
sj,2013,3,34
sj,2013,4,34
sj,2013,5,34
sj,2013,6,34
sj,2013,7,34
sj,2013,8,34
sj,2013,9,34
sj,2013,10,34
sj,2013,11,34
sj,2013,12,34
sj,2013,13,34
sj,2013,14,34
sj,2013,15,34
sj,2013,16,34
sj,2013,17,34
iq,2010,26,6
iq,2010,27,6
iq,2010,28,7
iq,2010,29,7
iq,2010,30,7
iq,2010,31,7
iq,2010,32,7
iq,2010,33,7
iq,2010,34,7
iq,2010,35,7
iq,2010,36,7
iq,2010,37,7
iq,2010,38,7
iq,2010,39,7
iq,2010,40,7
iq,2010,41,7
iq,2010,42,7
iq,2010,43,7
iq,2010,44,7
iq,2010,45,7
iq,2010,46,7
iq,2010,47,7
iq,2010,48,7
iq,2010,49,7
iq,2010,50,7
iq,2010,51,7
iq,2011,52,7
iq,2011,1,7
iq,2011,2,7
iq,2011,3,7
iq,2011,4,7
iq,2011,5,7
iq,2011,6,7
iq,2011,7,7
iq,2011,8,7
iq,2011,9,7
iq,2011,10,7
iq,2011,11,7
iq,2011,12,7
iq,2011,13,7
iq,2011,14,7
iq,2011,15,7
iq,2011,16,7
iq,2011,17,7
iq,2011,18,7
iq,2011,19,7
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,7
iq,2011,24,7
iq,2011,25,7
iq,2011,26,7
iq,2011,27,7
iq,2011,28,7
iq,2011,29,7
iq,2011,30,7
iq,2011,31,7
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,7
iq,2011,36,7
iq,2011,37,7
iq,2011,38,7
iq,2011,39,7
iq,2011,40,7
iq,2011,41,7
iq,2011,42,7
iq,2011,43,7
iq,2011,44,7
iq,2011,45,7
iq,2011,46,7
iq,2011,47,7
iq,2011,48,7
iq,2011,49,7
iq,2011,50,7
iq,2011,51,7
iq,2012,52,7
iq,2012,1,7
iq,2012,2,7
iq,2012,3,7
iq,2012,4,7
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,7
iq,2012,9,7
iq,2012,10,7
iq,2012,11,7
iq,2012,12,7
iq,2012,13,7
iq,2012,14,7
iq,2012,15,7
iq,2012,16,7
iq,2012,17,7
iq,2012,18,7
iq,2012,19,7
iq,2012,20,7
iq,2012,21,7
iq,2012,22,7
iq,2012,23,7
iq,2012,24,7
iq,2012,25,7
iq,2012,26,7
iq,2012,27,7
iq,2012,28,7
iq,2012,29,7
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,7
iq,2012,34,7
iq,2012,35,7
iq,2012,36,7
iq,2012,37,7
iq,2012,38,7
iq,2012,39,7
iq,2012,40,7
iq,2012,41,7
iq,2012,42,7
iq,2012,43,7
iq,2012,44,7
iq,2012,45,7
iq,2012,46,7
iq,2012,47,7
iq,2012,48,7
iq,2012,49,7
iq,2012,50,7
iq,2012,51,7
iq,2013,1,7
iq,2013,2,7
iq,2013,3,7
iq,2013,4,7
iq,2013,5,7
iq,2013,6,7
iq,2013,7,7
iq,2013,8,7
iq,2013,9,7
iq,2013,10,7
iq,2013,11,7
iq,2013,12,7
iq,2013,13,7
iq,2013,14,7
iq,2013,15,7
iq,2013,16,7
iq,2013,17,7
iq,2013,18,7
iq,2013,19,7
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,7
iq,2013,25,7
iq,2013,26,7
